category,condition,page_url,image_url,index,status
Endocrine,Cushing syndrome (pituitary adenoma),https://radiopaedia.org/articles/cushing-disease,https://prod-images-static.radiopaedia.org/images/18903/af89430a21004cf157275ccf332a75_big_gallery.jpeg,2,ok
Endocrine,Cushing syndrome (pituitary adenoma),https://radiopaedia.org/articles/cushing-disease,https://prod-images-static.radiopaedia.org/images/2838459/64fb6151f2ce05f6c5b70723df7599_big_gallery.jpg,3,ok
Reproductive,Ovarian cyst,,,,not_found
Reproductive,Uterine fibroids,,,,not_found
Reproductive,Prostate enlargement (BPH),https://radiopaedia.org/articles/benign-prostatic-hyperplasia,https://prod-images-static.radiopaedia.org/images/963/eb7b4813c5acd5847041a76bfa08b3eb94959aa7bcbdb30233fc4029ece16194_gallery.jpeg,1,ok
Reproductive,Prostate enlargement (BPH),https://radiopaedia.org/articles/benign-prostatic-hyperplasia,https://prod-images-static.radiopaedia.org/images/963/eb7b4813c5acd5847041a76bfa08b3eb94959aa7bcbdb30233fc4029ece16194_big_gallery.jpeg,2,ok
Reproductive,Prostate enlargement (BPH),https://radiopaedia.org/articles/benign-prostatic-hyperplasia,https://prod-images-static.radiopaedia.org/images/420/dabb9954c6d02165278318fa035410_big_gallery.jpeg,3,ok
Reproductive,Testicular torsion,https://radiopaedia.org/articles/testicular-torsion,https://prod-images-static.radiopaedia.org/images/552239/640114ef5014f2e366e87f6b726de2_gallery.jpeg,1,ok
Reproductive,Testicular torsion,https://radiopaedia.org/articles/testicular-torsion,https://prod-images-static.radiopaedia.org/images/552239/640114ef5014f2e366e87f6b726de2_big_gallery.jpeg,2,ok
Reproductive,Testicular torsion,https://radiopaedia.org/articles/testicular-torsion,https://prod-images-static.radiopaedia.org/images/552240/0b56088cf1469bbb08f03ed87cc868_big_gallery.jpeg,3,ok
Oncology/Cancer,Tumor (general),,,,not_found
Oncology/Cancer,Lymphoma,https://radiopaedia.org/articles/lymphoma,https://prod-images-static.radiopaedia.org/images/22502/6711475171668bd76b41d403849dfc_gallery.jpeg,1,ok
Oncology/Cancer,Lymphoma,https://radiopaedia.org/articles/lymphoma,https://prod-images-static.radiopaedia.org/images/22502/6711475171668bd76b41d403849dfc_big_gallery.jpeg,2,ok
Oncology/Cancer,Lymphoma,https://radiopaedia.org/articles/lymphoma,https://prod-images-static.radiopaedia.org/images/22328/964f22cc285ef868d5d5cf2ebedf05_big_gallery.jpeg,3,ok
Oncology/Cancer,Metastases,,,,not_found
Oncology/Cancer,Breast cancer,,,,not_found
Oncology/Cancer,Pancreatic cancer,https://radiopaedia.org/articles/pancreatic-adenocarcinoma,https://prod-images-static.radiopaedia.org/images/1585483/6e0f7677d1c430f279415a063b55e2f57bee38b2730f568c99198abcb885a9fd_gallery.jpeg,1,ok
Oncology/Cancer,Pancreatic cancer,https://radiopaedia.org/articles/pancreatic-adenocarcinoma,https://prod-images-static.radiopaedia.org/images/1585483/6e0f7677d1c430f279415a063b55e2f57bee38b2730f568c99198abcb885a9fd_big_gallery.jpeg,2,ok
Oncology/Cancer,Pancreatic cancer,https://radiopaedia.org/articles/pancreatic-adenocarcinoma,https://prod-images-static.radiopaedia.org/images/54008125/110173_big_gallery.jpeg,3,ok
Other Organs,Splenomegaly,https://radiopaedia.org/articles/splenomegaly,https://prod-images-static.radiopaedia.org/images/52650402/01b47d6c46ec42837598681ff06b8c_gallery.jpeg,1,ok
Other Organs,Splenomegaly,https://radiopaedia.org/articles/splenomegaly,https://prod-images-static.radiopaedia.org/images/52650402/01b47d6c46ec42837598681ff06b8c_big_gallery.jpeg,2,ok
Other Organs,Splenomegaly,https://radiopaedia.org/articles/splenomegaly,https://prod-images-static.radiopaedia.org/images/53415844/splenomegaly9201136_big_gallery.jpeg,3,ok
Other Organs,Splenic rupture,,,,not_found
Other Organs,Ascites,https://radiopaedia.org/articles/ascites,https://prod-images-static.radiopaedia.org/images/10498050/ae0efc1b552ff28df1ac70c0351393_gallery.jpeg,1,ok
Other Organs,Ascites,https://radiopaedia.org/articles/ascites,https://prod-images-static.radiopaedia.org/images/10498050/ae0efc1b552ff28df1ac70c0351393_big_gallery.jpeg,2,ok
Other Organs,Ascites,https://radiopaedia.org/articles/ascites,https://prod-images-static.radiopaedia.org/images/6954392/80b3fa11537b86a9df167e76d4c044_big_gallery.jpg,3,ok
Other Organs,Sinusitis,,,,not_found
Other Organs,Pancreatitis,https://radiopaedia.org/articles/acute-pancreatitis,https://prod-images-static.radiopaedia.org/images/5900021/0c97f893a51c82691beae25da2f3c2_gallery.jpg,1,ok
Other Organs,Pancreatitis,https://radiopaedia.org/articles/acute-pancreatitis,https://prod-images-static.radiopaedia.org/images/5900021/0c97f893a51c82691beae25da2f3c2_big_gallery.jpg,2,ok
Other Organs,Pancreatitis,https://radiopaedia.org/articles/acute-pancreatitis,https://prod-images-static.radiopaedia.org/images/595477/d63c92095afee076778b1fce6e79d6_big_gallery.jpeg,3,ok
